,0
1/22/20,555
1/23/20,654
1/24/20,941
1/25/20,1434
1/26/20,2118
1/27/20,2927
1/28/20,5578
1/29/20,6167
1/30/20,8235
1/31/20,9927
2/1/20,12038
2/2/20,16787
2/3/20,19887
2/4/20,23898
2/5/20,27643
2/6/20,30803
2/7/20,34396
2/8/20,37130
2/9/20,40160
2/10/20,42769
2/11/20,44811
2/12/20,45229
2/13/20,60382
2/14/20,66909
2/15/20,69051
2/16/20,71235
2/17/20,73270
2/18/20,75152
2/19/20,75652
2/20/20,76212
2/21/20,76841
2/22/20,78602
2/23/20,78982
2/24/20,79546
2/25/20,80399
2/26/20,81376
2/27/20,82736
2/28/20,84123
2/29/20,86013
3/1/20,88394
3/2/20,90377
3/3/20,92971
3/4/20,95279
3/5/20,98090
3/6/20,102003
3/7/20,106098
3/8/20,110047
3/9/20,114219
3/10/20,119041
3/11/20,126702
3/12/20,132492
3/13/20,146879
3/14/20,157952
3/15/20,169222
3/16/20,184032
3/17/20,199976
3/18/20,219535
3/19/20,246584
3/20/20,277361
3/21/20,309363
3/22/20,344194
3/23/20,387045
3/24/20,428205
3/25/20,479223
3/26/20,542053
3/27/20,607114
3/28/20,674360
3/29/20,733612
3/30/20,798890
3/31/20,875739
4/1/20,952172
4/2/20,1033388
4/3/20,1116618
4/4/20,1175629
4/5/20,1246549
4/6/20,1318482
4/7/20,1388956
4/8/20,1473309
4/9/20,1558977
4/10/20,1643587
4/11/20,1718073
4/12/20,1837439
4/13/20,1907058
4/14/20,1990793
4/15/20,2072667
4/16/20,2169593
4/17/20,2257225
4/18/20,2334507
4/19/20,2410704
4/20/20,2485347
4/21/20,2561192
4/22/20,2642885
4/23/20,2726775
4/24/20,2812325
4/25/20,2895703
4/26/20,2967633
4/27/20,3037310
4/28/20,3112818
4/29/20,3191303
4/30/20,3275136
5/1/20,3362854
5/2/20,3442433
5/3/20,3518905
5/4/20,3595904
5/5/20,3676385
5/6/20,3766928
5/7/20,3855986
5/8/20,3946360
5/9/20,4031230
5/10/20,4106395
5/11/20,4183162
5/12/20,4267380
5/13/20,4352926
5/14/20,4449365
